municipio_id,municipio_nome,municipio_cod_tjsp,municipio_nome_tjsp,comarca_id,comarca_munsede
3533304,Nova Luzitânia,6880,Nova Luzitânia,3532603,0
3533403,Nova Odessa,6881,Nova Odessa,3533403,1
3533254,Novais,6879,Novais,3552601,0
3533502,Novo Horizonte,6882,Novo Horizonte,3533502,1
3533601,Nuporanga,6883,Nuporanga,3533601,1
3533700,Ocauçu,6884,Ocauçu,3529005,0
3533908,Olímpia,6886,Olímpia,3533908,1
3534005,Onda Verde,6887,Onda Verde,3533007,0
3534104,Oriente,6888,Oriente,3540002,0
3534203,Orindiúva,6889,Orindiúva,3536604,0
3534302,Orlândia,6890,Orlândia,3534302,1
3534401,Osasco,6891,Osasco,3534401,1
3534500,Oscar Bressane,6892,Oscar Bressane,3535507,0
3534609,Osvaldo Cruz,6893,Osvaldo Cruz,3534609,1
3534708,Ourinhos,6894,Ourinhos,3534708,1
3534807,Ouro Verde,6896,Ouro Verde,3514403,0
3534757,Ouroeste,6895,Ouroeste,3534757,1
3533809,Óleo,6885,Óleo,3538808,0
3534906,Pacaembu,6897,Pacaembu,3534906,1
3535002,Palestina,6898,Palestina,3535002,1
3535101,Palmares Paulista,6899,Palmares Paulista,3545605,0
3535200,Palmeira d'Oeste,6900,Palmeira d'Oeste,3535200,1
3535309,Palmital,6901,Palmital,3535309,1
3535408,Panorama,6902,Panorama,3535408,1
3535507,Paraguaçu Paulista,6903,Paraguaçu Paulista,3535507,1
3535606,Paraibuna,6904,Paraibuna,3535606,1
3535705,Paraíso,6905,Paraíso,3531506,0
3535804,Paranapanema,6906,Paranapanema,3535804,1
3535903,Paranapuã,6907,Paranapuã,3524808,0
3536000,Parapuã,6908,Parapuã,3534609,0
3536109,Pardinho,6909,Pardinho,3507506,0
3536208,Pariquera-Açu,6910,Pariquera-Açu,3536208,1
3536257,Parisi,6911,Parisi,3557105,0
3536307,Patrocínio Paulista,6912,Patrocínio Paulista,3536307,1
3536406,Paulicéia,6913,Paulicéia,3535408,0
3536570,Paulistânia,6915,Paulistânia,3500709,0
3536505,Paulínia,6914,Paulínia,3536505,1
3536604,Paulo de Faria,6916,Paulo de Faria,3536604,1
3536703,Pederneiras,6917,Pederneiras,3536703,1
3536802,Pedra Bela,6918,Pedra Bela,3507605,0
3536901,Pedranópolis,6919,Pedranópolis,3515509,0
3537008,Pedregulho,6920,Pedregulho,3537008,1
3537107,Pedreira,6921,Pedreira,3537107,1
3537156,Pedrinhas Paulista,6922,Pedrinhas Paulista,3528809,0
3537206,Pedro de Toledo,6923,Pedro de Toledo,3523305,0
3537305,Penápolis,6924,Penápolis,3537305,1
3537404,Pereira Barreto,6925,Pereira Barreto,3537404,1
3537503,Pereiras,6926,Pereiras,3512308,0
3537602,Peruíbe,6927,Peruíbe,3537602,1
3537701,Piacatu,6928,Piacatu,3506409,0
3537800,Piedade,6929,Piedade,3537800,1
3537909,Pilar do Sul,6930,Pilar do Sul,3537909,1
3538006,Pindamonhangaba,6931,Pindamonhangaba,3538006,1
3538105,Pindorama,6932,Pindorama,3511102,0
3538204,Pinhalzinho,6933,Pinhalzinho,3538204,1
3538303,Piquerobi,6934,Piquerobi,3547700,0
3538501,Piquete,6935,Piquete,3538501,1
3538600,Piracaia,6936,Piracaia,3538600,1
3538709,Piracicaba,6937,Piracicaba,3538709,1
3538808,Piraju,6938,Piraju,3538808,1
3538907,Pirajuí,6939,Pirajuí,3538907,1
3539004,Pirangi,6940,Pirangi,3539004,1
3539103,Pirapora do Bom Jesus,6941,Pirapora do Bom Jesus,3547304,0
3539202,Pirapozinho,6942,Pirapozinho,3539202,1
3539301,Pirassununga,6943,Pirassununga,3539301,1
3539400,Piratininga,6944,Piratininga,3539400,1
3539509,Pitangueiras,6945,Pitangueiras,3539509,1
3539608,Planalto,6946,Planalto,3508108,0
3539707,Platina,6947,Platina,3535309,0
3539806,Poá,6948,Poá,3539806,1
3539905,Poloni,6949,Poloni,3531407,0
3540002,Pompéia,6950,Pompéia,3540002,1
3540101,Pongaí,6951,Pongaí,3538907,0
3540200,Pontal,6952,Pontal,3540200,1
3540259,Pontalinda,6953,Pontalinda,3524808,0
3540309,Pontes Gestal,6954,Pontes Gestal,3510708,0
3540408,Populina,6955,Populina,3515202,0
3540507,Porangaba,6956,Porangaba,3540507,1
3540606,Porto Feliz,6957,Porto Feliz,3540606,1
3540705,Porto Ferreira,6958,Porto Ferreira,3540705,1
3540754,Potim,6959,Potim,3502507,0
3540804,Potirendaba,6960,Potirendaba,3540804,1
3540853,Pracinha,6961,Pracinha,3527405,0
3540903,Pradópolis,6962,Pradópolis,3518602,0
3541000,Praia Grande,6963,Praia Grande,3541000,1
3541059,Pratânia,6964,Pratânia,3550100,0
3541109,Presidente Alves,6965,Presidente Alves,3538907,0
3541208,Presidente Bernardes,6966,Presidente Bernardes,3541208,1
3541307,Presidente Epitácio,6967,Presidente Epitácio,3541307,1
3541406,Presidente Prudente,6968,Presidente Prudente,3541406,1
3541505,Presidente Venceslau,6969,Presidente Venceslau,3541505,1
3541604,Promissão,6970,Promissão,3541604,1
3541653,Quadra,6971,Quadra,3554003,0
3541703,Quatá,6972,Quatá,3541703,1
3541802,Queiroz,6973,Queiroz,3555000,0
3541901,Queluz,6974,Queluz,3541901,1
3542008,Quintana,6975,Quintana,3540002,0
3542107,Rafard,6976,Rafard,3510401,0
3542206,Rancharia,6977,Rancharia,3542206,1
3542305,Redenção da Serra,6978,Redenção da Serra,3554102,0
3542404,Regente Feijó,6979,Regente Feijó,3542404,1
3542503,Reginópolis,6980,Reginópolis,3538907,0
3542602,Registro,6981,Registro,3542602,1
3542701,Restinga,6982,Restinga,3516200,0
3542800,Ribeira,6983,Ribeira,3502705,0
3542909,Ribeirão Bonito,6984,Ribeirão Bonito,3542909,1
3543006,Ribeirão Branco,6985,Ribeirão Branco,3522406,0
3543105,Ribeirão Corrente,6986,Ribeirão Corrente,3516200,0
3543253,Ribeirão Grande,6989,Ribeirão Grande,3510203,0
3543303,Ribeirão Pires,6990,Ribeirão Pires,3543303,1
3543402,Ribeirão Preto,6991,Ribeirão Preto,3543402,1
3543204,Ribeirão do Sul,6987,Ribeirão do Sul,3534708,0
3543238,Ribeirão dos Índios,6988,Ribeirão dos Índios,3547700,0
3543600,Rifaina,6993,Rifaina,3537008,0
3543709,Rincão,6994,Rincão,3501707,0
3543808,Rinópolis,6995,Rinópolis,3555000,0
3543907,Rio Claro,6996,Rio Claro,3543907,1
3544103,Rio Grande da Serra,6998,Rio Grande da Serra,3544103,1
3544004,Rio das Pedras,6997,Rio das Pedras,3544004,1
3544202,Riolândia,6999,Riolândia,3536604,0
3543501,Riversul,6992,Riversul,3522802,0
3544251,Rosana,7000,Rosana,3544251,1
3544301,Roseira,7001,Roseira,3544301,1
3544400,Rubiácea,7002,Rubiácea,3518206,0
3544509,Rubinéia,7003,Rubinéia,3546603,0
3544608,Sabino,7004,Sabino,3527108,0
3544707,Sagres,7005,Sagres,3534609,0
3544806,Sales,7006,Sales,3556008,0
3544905,Sales Oliveira,7007,Sales Oliveira,3533601,0
